Country;Sector;Product CN Code;Description;Default Value (direct emissions);Default Value (Indirect emissions);Default Value (total emissions);2026 Default Value (Including mark-up);2027 Default Value (Including mark-up);2028 Default Value (Including mark-up);Underlying production route determining CBAM BM
South Korea;Iron and steel;73063012;"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced""";2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73063018;Precision tubes, welded, of circular cross-section, of iron or non-alloy steel (excl. cold-drawn or cold-rolled);2.144;;2.144;2.3584;2.5728;2.7872;
South Korea;Iron and steel;73063041;"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel, plated or coated with zinc";2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73063049;"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel (excl. products plated or coated with zinc)";2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73063072;Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel, of an external diameter of <= 168,3 mm, plated or coated with zinc (excl. line pipe of a kind used for oil or gas pipelines or casing and tubingof a kind used in drilling for oil or gas);2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73063077;"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel of an external diameter of <= 168,3 mm (excl. plated or coated with zinc and line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used in drilling for oil or gas, precision tubes and threaded or threadable tubes ""gas pipe"")";2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73063080;"Tubes, pipes and hollow profiles, welded, having a circular cross-section, of iron or steel, of an external diameter of > 168,3 mm but <= 406,4 mm (excl. line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, or precision steel tubes, electrical conduit tubes or threaded or threadable tubes ""gas pipe"")";2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73064020;"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. products having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)";4.114;;4.114;4.5254;4.9368;5.3482;
South Korea;Iron and steel;73064080;"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excl. products cold-drawn or cold-rolled ""cold-reduced"", tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)";4.094;;4.094;4.5034;4.9128;5.3222;
South Korea;Iron and steel;73065021;"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced""";2.184;;2.184;2.4024;2.6208;2.8392;(F)
South Korea;Iron and steel;73065029;Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless (excl. cold-drawn or cold-rolled);2.164;;2.164;2.3804;2.5968;2.8132;(F)
South Korea;Iron and steel;73065080;Tubes, pipes and hollow profiles, welded, of circular cross-section, of alloy steel other than stainless (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and precision steel tubes);2.184;;2.184;2.4024;2.6208;2.8392;(F)
South Korea;Iron and steel;73066110;Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of stainless steel;4.114;;4.114;4.5254;4.9368;5.3482;
South Korea;Iron and steel;73066192;Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of <= 2 mm;2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73066199;Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of > 2 mm;2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73066910;Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section);4.114;;4.114;4.5254;4.9368;5.3482;
South Korea;Iron and steel;73066990;Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of iron or steel other than stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section);2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73069000;"Tubes, pipes and hollow profiles ""e.g., open seam, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless or welded tubes and pipes and tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm)";2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;7307;"Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel";;;;;;;
South Korea;Iron and steel;730711;Tube or pipe fittings of non-malleable cast iron;2.194;;2.194;2.4134;2.6328;2.8522;
South Korea;Iron and steel;73071910;Tube or pipe fittings of cast iron (excl. of non-malleable);2.194;;2.194;2.4134;2.6328;2.8522;
South Korea;Iron and steel;73071990;Cast tube or pipe fittings of steel;2.274;;2.274;2.5014;2.7288;2.9562;(C)
South Korea;Iron and steel;73072100;Flanges of stainless steel (excl. cast products);3.774;;3.774;4.1514;4.5288;4.9062;
South Korea;Iron and steel;730722;Threaded elbows, bends and sleeves of stainless steel (excl. cast products);3.774;;3.774;4.1514;4.5288;4.9062;
South Korea;Iron and steel;730723;Butt welding tube or pipe fittings of stainless steel (excl. cast products);3.774;;3.774;4.1514;4.5288;4.9062;
South Korea;Iron and steel;730729;Tube or pipe fittings of stainless steel (excl. cast products, flanges, threaded elbows, bends and sleeves and butt weldings fittings);3.774;;3.774;4.1514;4.5288;4.9062;
South Korea;Iron and steel;73079100;Flanges of iron or steel (excl. cast or stainless products);2.134;;2.134;2.3474;2.5608;2.7742;(C)
South Korea;Iron and steel;730792;Threaded elbows, bends and sleeves, of stainless steel (excl. cast or stainless products);2.134;;2.134;2.3474;2.5608;2.7742;(C)
South Korea;Iron and steel;730793;Butt welding fittings of iron or steel (excl. cast iron or stainless steel products, and flanges);2.134;;2.134;2.3474;2.5608;2.7742;(C)
South Korea;Iron and steel;730799;"Tube or pipe fittings, of iron or steel (excl. cast iron or stainless steel products; flanges; threaded elbows, bends and sleeves; butt welding fittings)";2.134;;2.134;2.3474;2.5608;2.7742;(C)
South Korea;Iron and steel;7308;"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)";3.864;;3.864;4.2504;4.6368;5.0232;(C)
South Korea;Iron and steel;7309;"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of > 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated (excl. containers specifically constructed or equipped for one or more types of transport)";4.124;;4.124;4.5364;4.9488;5.3612;(C)
South Korea;Iron and steel;7310;"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of <= 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated, n.e.s.";2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;7311;Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport);;;;;;;
South Korea;Iron and steel;731100;Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport);4.104;;4.104;4.5144;4.9248;5.3352;(C)
South Korea;Iron and steel;7318;Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded);;;;;;;
